"","date","hits_daily","hits_monthly"
"1",2017-01-01,2.94,6
"2",2017-01-02,5.1,6
"3",2017-01-03,4.5,6
"4",2017-01-04,4.98,6
"5",2017-01-05,6,6
"6",2017-01-06,5.34,6
"7",2017-01-07,4.32,6
"8",2017-01-08,3.96,6
"9",2017-01-09,3.78,6
"10",2017-01-10,3.36,6
"11",2017-01-11,4.02,6
"12",2017-01-12,4.08,6
"13",2017-01-13,3.42,6
"14",2017-01-14,3.24,6
"15",2017-01-15,2.76,6
"16",2017-01-16,3,6
"17",2017-01-17,3.06,6
"18",2017-01-18,3,6
"19",2017-01-19,2.82,6
"20",2017-01-20,2.76,6
"21",2017-01-21,2.52,6
"22",2017-01-22,2.76,6
"23",2017-01-23,2.82,6
"24",2017-01-24,2.82,6
"25",2017-01-25,2.76,6
"26",2017-01-26,2.82,6
"27",2017-01-27,2.64,6
"28",2017-01-28,2.64,6
"29",2017-01-29,2.52,6
"30",2017-01-30,2.52,6
"31",2017-01-31,2.76,6
"32",2017-02-01,3.25,5
"33",2017-02-02,3.7,5
"34",2017-02-03,3.7,5
"35",2017-02-04,3.3,5
"36",2017-02-05,3.2,5
"37",2017-02-06,3.35,5
"38",2017-02-07,3.55,5
"39",2017-02-08,3.65,5
"40",2017-02-09,3.8,5
"41",2017-02-10,3.4,5
"42",2017-02-11,3.3,5
"43",2017-02-12,3,5
"44",2017-02-13,3.15,5
"45",2017-02-14,2.85,5
"46",2017-02-15,3.15,5
"47",2017-02-16,3.1,5
"48",2017-02-17,3.5,5
"49",2017-02-18,3.2,5
"50",2017-02-19,3.05,5
"51",2017-02-20,3.45,5
"52",2017-02-21,3.55,5
"53",2017-02-22,3.85,5
"54",2017-02-23,4.15,5
"55",2017-02-24,5,5
"56",2017-02-25,4.15,5
"57",2017-02-26,3.3,5
"58",2017-02-27,3.45,5
"59",2017-02-28,3.75,5
"60",2017-03-01,4.06,7
"61",2017-03-02,4.76,7
"62",2017-03-03,7,7
"63",2017-03-04,5.11,7
"64",2017-03-05,4.13,7
"65",2017-03-06,4.69,7
"66",2017-03-07,4.83,7
"67",2017-03-08,5.25,7
"68",2017-03-09,5.04,7
"69",2017-03-10,6.51,7
"70",2017-03-11,5.46,7
"71",2017-03-12,4.2,7
"72",2017-03-13,4.55,7
"73",2017-03-14,4.06,7
"74",2017-03-15,4.34,7
"75",2017-03-16,4.41,7
"76",2017-03-17,4.41,7
"77",2017-03-18,4.97,7
"78",2017-03-19,4.55,7
"79",2017-03-20,4.27,7
"80",2017-03-21,4.41,7
"81",2017-03-22,4.34,7
"82",2017-03-23,4.2,7
"83",2017-03-24,4.27,7
"84",2017-03-25,4.9,7
"85",2017-03-26,3.71,7
"86",2017-03-27,3.99,7
"87",2017-03-28,3.85,7
"88",2017-03-29,3.78,7
"89",2017-03-30,3.64,7
"90",2017-03-31,3.64,7
"91",2017-04-01,4.92,6
"92",2017-04-02,4.62,6
"93",2017-04-03,5.22,6
"94",2017-04-04,5.1,6
"95",2017-04-05,5.4,6
"96",2017-04-06,5.22,6
"97",2017-04-07,4.98,6
"98",2017-04-08,4.74,6
"99",2017-04-09,4.8,6
"100",2017-04-10,5.04,6
"101",2017-04-11,5.58,6
"102",2017-04-12,5.28,6
"103",2017-04-13,5.28,6
"104",2017-04-14,4.98,6
"105",2017-04-15,4.74,6
"106",2017-04-16,4.5,6
"107",2017-04-17,4.92,6
"108",2017-04-18,5.46,6
"109",2017-04-19,5.1,6
"110",2017-04-20,5.16,6
"111",2017-04-21,4.86,6
"112",2017-04-22,4.74,6
"113",2017-04-23,5.04,6
"114",2017-04-24,5.04,6
"115",2017-04-25,5.22,6
"116",2017-04-26,6,6
"117",2017-04-27,5.88,6
"118",2017-04-28,5.52,6
"119",2017-04-29,5.22,6
"120",2017-04-30,4.98,6
"121",2017-05-01,3.08,14
"122",2017-05-02,3.64,14
"123",2017-05-03,3.5,14
"124",2017-05-04,4.48,14
"125",2017-05-05,4.2,14
"126",2017-05-06,3.64,14
"127",2017-05-07,3.36,14
"128",2017-05-08,3.92,14
"129",2017-05-09,5.32,14
"130",2017-05-10,4.76,14
"131",2017-05-11,5.04,14
"132",2017-05-12,6.16,14
