date,BCHAIN.AVBLS,BCHAIN.HRATE,BCHAIN.MIREV,BCHAIN.MKTCP,BCHAIN.NADDU,BCHAIN.TOTBC,BCHAIN.TOUTV
2013-01-01,0.0747413577103,24.2914404987,55912.003,143980866.275,26713,10617275,1526842.03422
2013-01-02,0.105148480489,23.1064921817,52648.6,142323745,33739,10621175,1942580.39418
2013-01-03,0.103663367033,23.6989663402,54327.24,143057356.2,38262,10625175,1638132.31244
2013-01-04,0.150549374574,20.8847140873,48118.33062,143379674.982,37428,10628700,2368655.15385
2013-01-05,0.105734210686,22.0696624043,50872.74,144048093.9,41926,10632425,2270235.33094
2013-01-06,0.100110665174,21.0328326269,48532.07413,143904635.39,33185,10635975,1053569.59865
2013-01-07,0.104923088394,24.7357961176,56968.815,144014430.25,39233,10640150,1302255.39982
2013-01-08,0.111600048012,23.2611819868,50189.07,147203062.5,36996,10643750,2088660.78936
2013-01-09,0.146747994779,21.6458221266,46955.97234,147781535.058,40935,10647100,1849614.70174
2013-01-10,0.151786817263,23.5842539589,54444.64,152518740,43702,10650750,1391896.02895
2013-01-11,0.183828606093,19.5458543084,43886.66931,152348875.962,48496,10653775,1436539.47057
2013-01-12,0.16279561179,19.2227823363,43236.51987,152924255.933,37486,10656750,1014169.554
2013-01-13,0.152278650002,19.7073902944,44161.158,152592905.04,40823,10659800,936443.161091
2013-01-14,0.125961551419,24.876541847,55555.5,152490195,32734,10663650,868829.074467
2013-01-15,0.148114354592,20.5150702245,46463.07891,154444852.507,46112,10666825,1895510.47875
2013-01-16,0.176891784358,19.8689262804,45756.235,156730161.1,45312,10669900,2368253.17297
2013-01-17,0.167567671799,19.8689262804,47878.29,164257085.25,42042,10672975,1902268.45756
2013-01-18,0.183450721741,20.1919982525,50576.54,170657458.5,44445,10676100,1579630.05577
2013-01-19,0.167372311261,22.7765740288,56844.82752,169197726.06,38673,10679625,1747204.61432
2013-01-20,0.132864193483,21.3227501546,52961.37,169751678.25,34725,10682925,1163691.83035
2013-01-21,0.121464918738,23.5842539589,62486.4,181458043.5,32882,10686575,1125356.29495
