date,percentage_change,constraining,litigious,negative,positive,superfluous,uncertainty,sentiment,p1_percentage_change,p2_percentage_change,p3_percentage_change,p4_percentage_change
01/01/2018,0.002310777,0,0,0,0,0,0,0,0.048684699,0.060329549,-0.010382007,0.073558442
02/01/2018,0.048684699,0,0,0,1,0,0,1,0.060329549,-0.010382007,0.073558442,0.041296838
03/01/2018,0.060329549,0,0,0,0,0,0,0,-0.010382007,0.073558442,0.041296838,-0.016678024
04/01/2018,-0.010382007,0,0,0,1,0,0,1,0.073558442,0.041296838,-0.016678024,-0.085636067
05/01/2018,0.073558442,0,0,0,1,0,0,1,0.041296838,-0.016678024,-0.085636067,-0.027222959
06/01/2018,0.041296838,0,0,0,0,0,0,0,-0.016678024,-0.085636067,-0.027222959,-0.040188301
07/01/2018,-0.016678024,0,0,0,0,0,0,0,-0.085636067,-0.027222959,-0.040188301,-0.039855843
08/01/2018,-0.085636067,0,0,0,0,0,0,0,-0.027222959,-0.040188301,-0.039855843,0.004326324
09/01/2018,-0.027222959,0,0,2,0,0,0,-2,-0.040188301,-0.039855843,0.004326324,0.040807851
10/01/2018,-0.040188301,0,0,0,0,0,0,0,-0.039855843,0.004326324,0.040807851,-0.050885308
11/01/2018,-0.039855843,0,0,0,0,0,0,0,0.004326324,0.040807851,-0.050885308,0.023865323
12/01/2018,0.004326324,0,0,0,0,0,0,0,0.040807851,-0.050885308,0.023865323,-0.175883933
13/01/2018,0.040807851,0,0,0,0,0,0,0,-0.050885308,0.023865323,-0.175883933,-0.126603043
14/01/2018,-0.050885308,0,0,0,0,0,0,0,0.023865323,-0.175883933,-0.126603043,0.092187647
15/01/2018,0.023865323,0,0,0,0,0,0,0,-0.175883933,-0.126603043,0.092187647,-0.003299778
16/01/2018,-0.175883933,0,0,0,0,0,0,0,-0.126603043,0.092187647,-0.003299778,0.079028969
17/01/2018,-0.126603043,0,0,0,0,0,0,0,0.092187647,-0.003299778,0.079028969,-0.055772146
18/01/2018,0.092187647,0,2,5,0,0,0,-5,-0.003299778,0.079028969,-0.055772146,-0.085096215
19/01/2018,-0.003299778,0,0,0,0,0,0,0,0.079028969,-0.055772146,-0.085096215,-0.019787505
20/01/2018,0.079028969,0,0,0,0,0,0,0,-0.055772146,-0.085096215,-0.019787505,0.03372494
21/01/2018,-0.055772146,0,0,0,0,0,0,0,-0.085096215,-0.019787505,0.03372494,0.021286015
22/01/2018,-0.085096215,0,0,0,0,0,0,0,-0.019787505,0.03372494,0.021286015,-0.038696009
23/01/2018,-0.019787505,0,1,2,1,0,0,-1,0.03372494,0.021286015,-0.038696009,0.03609521
24/01/2018,0.03372494,0,0,1,0,0,0,-1,0.021286015,-0.038696009,0.03609521,0.035590691
25/01/2018,0.021286015,0,0,0,0,0,0,0,-0.038696009,0.03609521,0.035590691,-0.037198797
