date,open,high,low,close,volume_btc,volume_currency,weighted_price
2018-01-01,13880,13941.75,12801.38,13443.41,7688.0306846,102815718.45172,13373.479200294
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.66930279,229138844.07688,14057.883004882
2018-01-03,14670.96,15500,14546.28,15155.62,12275.00119668,183639413.73724,14960.439579176
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859256,222160244.4909,14806.716155435
2018-01-05,15143.67,17200,14810,16928,16248.91467956,259695892.85336,15982.353158642
2018-01-06,16927.99,17234.99,16220,17149.67,9501.01675546,158389594.51445,16670.804671871
2018-01-07,17142.43,17149.97,15707.16,16124.02,8632.81384337,141555094.16036,16397.329622609
2018-01-08,16173.98,16300,13900,14999.99,16676.34994239,251877784.14267,15103.891739667
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469368,204579121.58441,14703.615804652
2018-01-10,14403.51,14900,13412,14890.02,18479.01253046,261210687.02947,14135.53276177
2018-01-11,14899.99,14973.07,12800,13243.83,19630.07517112,266846190.80782,13593.742687262
2018-01-12,13249.99,14152.19,12807.27,13781.41,13433.08481363,183399343.51664,13652.809169384
2018-01-13,13829.28,14619.1,13789.42,14197.78,7488.98701847,106595650.09047,14233.654007889
2018-01-14,14197.78,14365.81,13072.22,13647.99,7588.63558972,102783826.66084,13544.44095327
2018-01-15,13647.99,14394.36,13429.25,13607.04,9444.63530824,131049852.36484,13875.586307764
2018-01-16,13581.66,13607.04,10162,11386.34,38789.88308789,457725763.36584,11800.13258428
2018-01-17,11393.97,11794.07,9222,11191.35,41356.1897379,433168120.05249,10474.081940279
2018-01-18,11199,12146,10693,11247.57,22195.26202056,256082649.97875,11537.716911904
2018-01-19,11290.9,12050.39,11025.18,11552,13203.25567513,151834406.42114,11499.770220093
2018-01-20,11560.82,13052.12,11515.94,12775.99,10324.05733414,128912075.53122,12486.571060094
2018-01-21,12782.99,12791.88,11100,11558.87,11596.44128787,137150604.6405,11826.956325296
2018-01-22,11558.87,11910.78,10028.41,10808.99,17067.72925582,186028930.55173,10899.454037701
2018-01-23,10810,11409.87,9927.54,10851.82,17250.17614645,184369293.73459,10687.965860136
2018-01-24,10848.99,11500,10488.13,11400.96,11646.79059794,128825119.67869,11060.997327579
2018-01-25,11400.98,11741.82,10868.57,11155.54,10212.92183381,115421975.02514,11301.562559995
2018-01-26,11140.01,11635,10263.32,11092.95,15074.66641243,164020352.51582,10880.52949421
2018-01-27,11093.74,11630.47,10815.84,11446.54,10309.80746248,116376809.51695,11287.971180885
2018-01-28,11446.54,11989.15,11360.52,11685.58,9956.09249576,116531522.53334,11704.543984798
2018-01-29,11685.58,11820.01,10991,11162.62,9996.35689848,112806531.76197,11284.764330405
2018-01-30,11162.62,11222.36,9731.2,9971,21082.19252764,219169216.36012,10395.940368762
2018-01-31,9971,10324,9514.96,10149,12743.50947059,126723437.33569,9944.1553073072
2018-02-01,10148.99,10187.56,8455,8998.99,26356.58883931,243067799.59754,9222.2783866101
2018-02-02,9010.87,9096.79,7625.25,8838.83,44406.01982931,373423805.07552,8409.3059119214
2018-02-03,8838.29,9491.2,8170.71,9225.86,16208.37411342,144713399.47199,8928.3106657917
2018-02-04,9225.31,9350.09,7825,8191,19110.67246079,162005632.56055,8477.2334878818
2018-02-05,8190.78,8335.56,6600,6874.27,46544.42880431,342210634.64875,7352.3436303736
2018-02-06,6878.65,8150,5920.72,7737.37,70961.36965826,487504446.04308,6869.9976958004
2018-02-07,7737.26,8649,7213.8,7588.01,32640.89253754,260674865.84428,7986.1439310975
2018-02-08,7588.01,8644.36,7565.5,8259.76,22746.39118112,187157997.65798,8228.0303793124
2018-02-09,8259.42,8779.62,7753.32,8693.98,18418.11709042,152040059.86472,8254.9187367149
2018-02-10,8693.98,9090.8,8170.86,8560,14670.55870203,127082570.69049,8662.4220162045
2018-02-11,8560,8560,7820,8067,12711.7858457,103542540.61432,8145.3968680053
2018-02-12,8077.25,8995,8067,8899,15071.04029684,130557481.61167,8662.8048920448
2018-02-13,8891.2,8951.89,8360.13,8522.99,11374.52415254,97689771.643047,8588.4710721048
2018-02-14,8504.57,9515,8504.57,9490.98,17468.73886593,158839393.2453,9092.7796485121
2018-02-15,9490.98,10234,9350,10018,21036.3373175,206814744.84787,9831.3095918947
2018-02-16,10011.3,10300,9707.51,10196,11857.64277513,118860367.74258,10023.945736658
2018-02-17,10203.14,11135.83,10053.5,11101,14511.16913676,155314935.17762,10703.130375909
2018-02-18,11101,11300,10153.15,10421.06,17623.07943135,188724919.34455,10708.963781257
2018-02-19,10433.68,11262.48,10307.51,11173,11698.25622611,127802568.07185,10924.92467267
2018-02-20,11159.12,11780,11080.37,11233.41,15880.9090398,182156478.01967,11470.154357232
2018-02-21,11233.42,11275.74,10256,10449.4,19959.67715652,215353691.93532,10789.437637019
2018-02-22,10446.79,10935,9731.2,9843.34,20204.69095384,206051152.36005,10198.183819332
2018-02-23,9843.33,10405.3,9600,10166.1,16044.03930333,160782973.04507,10021.352478967
2018-02-24,10135.2,10540.63,9373.48,9689.99,13972.71472351,137805304.51942,9862.4574570004
2018-02-25,9688.26,9883.41,9260,9590.04,11037.17695269,105367249.24682,9546.5760582135
2018-02-26,9595.99,10461.97,9376.34,10324.7,16156.80505618,162306362.38799,10045.69664755
2018-02-27,10329.99,10850,10150,10566.3,10408.47993775,110086762.79583,10576.641685839
2018-02-28,10572.49,11064.75,10255.07,10314.9,10490.74905816,111457734.83117,10624.382893276
