article_date,element_id,word_count,sd,ave_sentiment
2012-02-28,1,2841,0.213692119,0.12632643
2012-03-02,2,1875,0.20022968,0.08522777
2012-03-03,3,1102,0.308617166,0.121933606
2012-03-05,4,4563,0.301178742,0.173005906
2012-04-04,5,805,0.330260145,0.127774208
2012-04-05,6,1109,0.2419007,0.167280981
2012-04-07,7,556,0.295272432,0.281220844
2012-04-08,8,2069,0.201017797,0.202984203
2012-04-10,9,616,0.28617257,0.123595528
2012-04-12,10,263,0.501452536,-0.038401497
2012-04-16,11,1266,0.258024505,0.081849326
2012-04-25,12,1058,0.295011588,0.021922961
2012-04-27,13,991,0.231940589,0.25940461
2012-04-28,14,650,0.289571548,0.276581054
2012-05-02,15,958,0.211919755,0.16795473
2012-05-08,16,1001,0.294459347,-0.064067894
2012-05-09,17,1081,0.252953087,0.110631507
2012-05-14,18,1214,0.296892867,0.033883816
2012-05-15,19,2515,0.301186955,0.180034374
2012-05-21,20,1919,0.338344556,-0.024971036
2012-05-24,21,1033,0.272534813,-0.041478633
2012-05-26,22,1207,0.333710996,-0.079284287
2012-05-30,23,1422,0.294101877,0.229081982
2012-05-31,24,2444,0.297568103,0.131984213
2012-06-04,25,5894,0.165272118,0.10207152
2012-06-05,26,884,0.329193188,0.214091768
2012-06-08,27,1334,0.269209992,0.143095349
2012-06-11,28,1111,0.247112207,0.107116421
2012-06-12,29,778,0.151894801,-0.021680782
2012-06-14,30,370,0.278687015,0.139292939
2012-06-15,31,918,0.243614771,0.107411475
2012-06-16,32,182,0.246207016,0.079683362
2012-06-19,33,1201,0.235424351,0.099420071
2012-06-26,34,1025,0.286429507,0.204305929
2012-06-29,35,1354,0.285170357,0.10764099
2012-07-05,36,1935,0.336389379,0.087872334
2012-07-12,37,749,0.273106676,0.071509996
2012-07-17,38,1209,0.25097986,-0.05874314
2012-07-21,39,746,0.170229308,0.173938106
2012-07-24,40,858,0.285840435,0.344932022
2012-07-28,41,1181,0.293528852,0.064927575
2012-07-31,42,258,0.290645572,0.003008962
2012-08-02,43,462,0.178049882,-0.04122615
2012-08-03,44,332,0.260912608,0.120947291
2012-08-06,45,265,0.264438974,-0.02445566
2012-08-09,46,1304,0.257418662,0.119685331
2012-08-11,47,1026,0.250235556,0.200566603
2012-08-16,48,899,0.288185981,0.004897074
2012-08-18,49,750,0.243990864,0.097451077
2012-08-23,50,1717,0.219089333,0.032338284
2012-08-30,51,997,0.187538428,0.057561249
2012-09-01,52,1484,0.260020826,0.150946381
