date,pred_class
1/1/18,1
2/1/18,1
3/1/18,1
4/1/18,1
5/1/18,1
6/1/18,1
7/1/18,0
8/1/18,0
9/1/18,1
10/1/18,1
11/1/18,1
12/1/18,1
13/1/18,1
14/1/18,1
15/1/18,1
16/1/18,1
17/1/18,1
18/1/18,1
19/1/18,1
20/1/18,1
21/1/18,1
22/1/18,1
23/1/18,1
24/1/18,0
25/1/18,1
26/1/18,1
27/1/18,1
28/1/18,1
29/1/18,1
30/1/18,1
31/1/18,1
1/2/18,1
2/2/18,1
3/2/18,1
4/2/18,1
5/2/18,1
6/2/18,1
7/2/18,1
8/2/18,1
9/2/18,1
10/2/18,1
11/2/18,1
12/2/18,1
13/2/18,1
14/2/18,1
15/2/18,1
16/2/18,1
17/2/18,1
18/2/18,1
19/2/18,1
20/2/18,1
21/2/18,1
22/2/18,1
23/2/18,1
24/2/18,1
25/2/18,1
26/2/18,1
27/2/18,1
28/2/18,1
1/3/18,1
2/3/18,1
3/3/18,1
4/3/18,0
5/3/18,1
6/3/18,1
7/3/18,1
8/3/18,1
9/3/18,1
10/3/18,1
11/3/18,0
12/3/18,1
13/3/18,1
14/3/18,1
15/3/18,1
16/3/18,1
17/3/18,1
18/3/18,1
19/3/18,1
20/3/18,0
21/3/18,0
22/3/18,1
23/3/18,1
24/3/18,1
25/3/18,1
26/3/18,1
27/3/18,1
28/3/18,1
29/3/18,1
30/3/18,1
31/3/18,0
1/4/18,1
2/4/18,1
3/4/18,1
4/4/18,1
5/4/18,1
6/4/18,1
7/4/18,1
8/4/18,1
9/4/18,1
10/4/18,1
11/4/18,1
12/4/18,1
13/4/18,1
14/4/18,1
15/4/18,1
16/4/18,1
17/4/18,1
18/4/18,1
19/4/18,1
20/4/18,1
21/4/18,1
22/4/18,1
23/4/18,1
24/4/18,1
25/4/18,1
26/4/18,1
27/4/18,1
28/4/18,1
29/4/18,1
30/4/18,1
1/5/18,1
2/5/18,1
3/5/18,1
4/5/18,1
5/5/18,1
6/5/18,1
7/5/18,1
8/5/18,1
9/5/18,1
10/5/18,0
11/5/18,1
12/5/18,1
13/5/18,0
14/5/18,1
15/5/18,1
16/5/18,1
17/5/18,1
18/5/18,0
19/5/18,1
20/5/18,0
21/5/18,1
22/5/18,1
23/5/18,1
24/5/18,0
25/5/18,1
26/5/18,1
27/5/18,1
28/5/18,1
29/5/18,1
30/5/18,1
31/5/18,1
1/6/18,1
2/6/18,1
3/6/18,1
4/6/18,1
5/6/18,1
6/6/18,1
7/6/18,1
8/6/18,0
9/6/18,1
10/6/18,1
11/6/18,0
12/6/18,1
13/6/18,1
14/6/18,1
15/6/18,1
16/6/18,1
17/6/18,1
18/6/18,1
19/6/18,1
20/6/18,1
21/6/18,1
22/6/18,1
23/6/18,1
24/6/18,1
25/6/18,1
26/6/18,1
27/6/18,1
28/6/18,1
29/6/18,1
30/6/18,1
1/7/18,1
2/7/18,1
3/7/18,1
4/7/18,0
5/7/18,1
6/7/18,1
7/7/18,0
8/7/18,1
9/7/18,1
10/7/18,1
11/7/18,1
12/7/18,1
13/7/18,1
14/7/18,1
15/7/18,1
16/7/18,1
17/7/18,1
18/7/18,1
19/7/18,1
20/7/18,1
21/7/18,1
22/7/18,1
23/7/18,1
24/7/18,0
25/7/18,0
26/7/18,1
27/7/18,1
28/7/18,0
29/7/18,1
30/7/18,1
31/7/18,1
1/8/18,0
2/8/18,0
3/8/18,0
4/8/18,1
5/8/18,1
6/8/18,0
7/8/18,1
8/8/18,1
9/8/18,0
10/8/18,1
11/8/18,1
12/8/18,1
13/8/18,1
14/8/18,1
15/8/18,1
16/8/18,1
17/8/18,1
18/8/18,1
19/8/18,0
20/8/18,1
21/8/18,1
22/8/18,1
23/8/18,1
24/8/18,1
25/8/18,0
26/8/18,1
27/8/18,1
28/8/18,0
29/8/18,1
30/8/18,1
31/8/18,1
1/9/18,1
2/9/18,1
3/9/18,1
4/9/18,0
5/9/18,1
6/9/18,0
7/9/18,1
8/9/18,1
9/9/18,1
10/9/18,1
11/9/18,1
12/9/18,1
13/9/18,0
14/9/18,1
15/9/18,0
16/9/18,0
17/9/18,1
18/9/18,1
19/9/18,1
20/9/18,1
21/9/18,1
22/9/18,1
23/9/18,0
24/9/18,1
25/9/18,1
26/9/18,1
27/9/18,1
28/9/18,1
29/9/18,1
30/9/18,0
1/10/18,0
2/10/18,1
3/10/18,1
4/10/18,1
5/10/18,1
6/10/18,1
7/10/18,1
8/10/18,0
