date,bitx,percent_change
Jan 01 2017,964,
Jan 02 2017,995.54,3.27%
Jan 03 2017,1019.78,2.43%
Jan 04 2017,1046.8,2.65%
Jan 05 2017,1163.73,11.17%
Jan 06 2017,1023.44,-12.06%
Jan 07 2017,920.34,-10.07%
Jan 08 2017,921.79,0.16%
Jan 09 2017,927.93,0.67%
Jan 10 2017,919.19,-0.94%
Jan 11 2017,926.91,0.84%
Jan 12 2017,796.77,-14.04%
Jan 13 2017,825.16,3.56%
Jan 14 2017,843.89,2.27%
Jan 15 2017,838.51,-0.64%
Jan 16 2017,842.54,0.48%
Jan 17 2017,849.59,0.84%
Jan 18 2017,924.09,8.77%
Jan 19 2017,903.99,-2.18%
Jan 20 2017,914.67,1.18%
Jan 21 2017,913.08,-0.17%
Jan 22 2017,938.29,2.76%
Jan 23 2017,940.12,0.20%
Jan 24 2017,926.85,-1.41%
Jan 25 2017,907.39,-2.10%
Jan 26 2017,915.25,0.87%
Jan 27 2017,929.87,1.60%
Jan 28 2017,930.12,0.03%
Jan 29 2017,933.08,0.32%
Jan 30 2017,931.49,-0.17%
Jan 31 2017,934.35,0.31%
Feb 01 2017,979.14,4.79%
Feb 02 2017,996.52,1.78%
Feb 03 2017,1015.44,1.90%
Feb 04 2017,1034.66,1.89%
Feb 05 2017,1046.83,1.18%
Feb 06 2017,1032.17,-1.40%
Feb 07 2017,1043.14,1.06%
Feb 08 2017,1062.1,1.82%
Feb 09 2017,1063.23,0.11%
Feb 10 2017,996.78,-6.25%
Feb 11 2017,991.45,-0.53%
Feb 12 2017,1005.16,1.38%
Feb 13 2017,1000.47,-0.47%
Feb 14 2017,992.7,-0.78%
Feb 15 2017,1016.78,2.43%
Feb 16 2017,1018.93,0.21%
Feb 17 2017,1033.44,1.42%
Feb 18 2017,1053.04,1.90%
Feb 19 2017,1057.18,0.39%
Feb 20 2017,1052.18,-0.47%
Feb 21 2017,1075.72,2.24%
Feb 22 2017,1107.47,2.95%
Feb 23 2017,1108.54,0.10%
Feb 24 2017,1163.17,4.93%
Feb 25 2017,1159.77,-0.29%
Feb 26 2017,1138.38,-1.84%
Feb 27 2017,1161.17,2.00%
Feb 28 2017,1184.39,2.00%
Mar 01 2017,1188.1,0.31%
Mar 02 2017,1242.24,4.56%
Mar 03 2017,1274.95,2.63%
Mar 04 2017,1305.23,2.37%
Mar 05 2017,1277.53,-2.12%
Mar 06 2017,1291.99,1.13%
Mar 07 2017,1301.06,0.70%
Mar 08 2017,1251.21,-3.83%
Mar 09 2017,1172.09,-6.32%
Mar 10 2017,1217.62,3.88%
Mar 11 2017,1159.48,-4.77%
Mar 12 2017,1237.78,6.75%
Mar 13 2017,1292.06,4.39%
Mar 14 2017,1331.64,3.06%
Mar 15 2017,1344.39,0.96%
Mar 16 2017,1391.88,3.53%
Mar 17 2017,1382.3,-0.69%
Mar 18 2017,1318.19,-4.64%
Mar 19 2017,1167.69,-11.42%
Mar 20 2017,1272.73,9.00%
Mar 21 2017,1279.53,0.53%
Mar 22 2017,1330.61,3.99%
Mar 23 2017,1271.69,-4.43%
Mar 24 2017,1272.6,0.07%
Mar 25 2017,1225.9,-3.67%
