date,tweets_volume
2013-12-01,23149
2013-12-02,28892
2013-12-03,26957
2013-12-04,26758
2013-12-05,43740
2013-12-06,33547
2013-12-07,25499
2013-12-08,21285
2013-12-09,28571
2013-12-10,28695
2013-12-11,28391
2013-12-12,28705
2013-12-13,32905
2013-12-14,17310
2013-12-15,19476
2013-12-16,31649
2013-12-17,28148
2013-12-18,46489
2013-12-19,29084
2013-12-20,23763
2013-12-21,19225
2013-12-22,20538
2013-12-23,23250
2013-12-24,21836
2013-12-25,15178
2013-12-26,18478
2013-12-27,22256
2013-12-28,18678
2013-12-29,17495
2013-12-30,20624
2013-12-31,17345
2014-01-01,13697
2014-01-02,21443
2014-01-03,23944
2014-01-04,20018
2014-01-05,19819
2014-01-06,29102
2014-01-07,27322
2014-01-08,26731
2014-01-09,30833
2014-01-10,31398
2014-01-11,19518
2014-01-12,31459
2014-01-13,41564
2014-01-14,26195
2014-01-15,24693
2014-01-16,30616
2014-01-17,25148
2014-01-18,16635
2014-01-19,17511
2014-01-20,25762
2014-01-21,37088
2014-01-22,35549
2014-01-23,30546
2014-01-24,27979
2014-01-25,19100
2014-01-26,16780
2014-01-27,39846
2014-01-28,36898
2014-01-29,30685
2014-01-30,24130
2014-01-31,21519
2014-02-01,19029
2014-02-02,15216
2014-02-03,21133
2014-02-04,25087
2014-02-05,22945
2014-02-06,38103
2014-02-07,41093
2014-02-08,21634
2014-02-09,21544
2014-02-10,44651
2014-02-11,39889
2014-02-12,34322
2014-02-13,27486
2014-02-14,31924
2014-02-15,20614
2014-02-16,20948
2014-02-17,25999
2014-02-18,33159
2014-02-19,29541
2014-02-20,29499
2014-02-21,24512
2014-02-22,16676
2014-02-23,16663
2014-02-24,31172
2014-02-25,87055
2014-02-26,63948
2014-02-27,46876
2014-02-28,65941
2014-03-01,35606
2014-03-02,27756
2014-03-03,38904
2014-03-04,43553
2014-03-05,51182
2014-03-06,85359
2014-03-07,93872
2014-03-08,32666
2014-03-09,27483
2014-03-10,39103
2014-03-11,35270
2014-03-12,32575
2014-03-13,28606
2014-03-14,31087
2014-03-15,21774
2014-03-16,19048
2014-03-17,32029
2014-03-18,28221
2014-03-19,24732
2014-03-20,27600
2014-03-21,32209
2014-03-22,19696
2014-03-23,19470
2014-03-24,24925
2014-03-25,42909
2014-03-26,38508
2014-03-27,33312
2014-03-28,27555
2014-03-29,19737
2014-03-30,19109
2014-03-31,27253
2014-04-01,28647
2014-04-02,26904
2014-04-03,24823
2014-04-04,22622
2014-04-05,20025
2014-04-06,15977
2014-04-07,23297
2014-04-08,24112
2014-04-09,26953
2014-04-10,25589
2014-04-11,22617
2014-04-12,15827
2014-04-13,13358
2014-04-14,18436
2014-04-15,22889
2014-04-16,29808
2014-04-17,20833
2014-04-18,18523
2014-04-19,16005
2014-04-20,14361
2014-04-21,19254
2014-04-22,22393
2014-04-23,23156
2014-04-24,23046
2014-04-25,23651
2014-04-26,15403
2014-04-27,14501
2014-04-28,20604
2014-04-29,26259
2014-04-30,30916
2014-05-01,20434
2014-05-02,18697
2014-05-03,15721
2014-05-04,14876
2014-05-05,23644
2014-05-06,25490
2014-05-07,21763
2014-05-08,27592
2014-05-09,28624
2014-05-10,18285
2014-05-11,16041
2014-05-12,19316
2014-05-13,23974
2014-05-14,22526
2014-05-15,21633
2014-05-16,28352
2014-05-17,17296
2014-05-18,17082
2014-05-19,24915
2014-05-20,25660
2014-05-21,23831
2014-05-22,24918
2014-05-23,27566
2014-05-24,15056
2014-05-25,16029
2014-05-26,18879
2014-05-27,22525
2014-05-28,22323
2014-05-29,28195
2014-05-30,22953
2014-05-31,16177
2014-06-01,16024
2014-06-02,22225
2014-06-03,27819
2014-06-04,23826
2014-06-05,22357
2014-06-06,21191
2014-06-07,15285
2014-06-08,13932
2014-06-09,17850
2014-06-10,21098
2014-06-11,27088
2014-06-12,28361
2014-06-13,26729
2014-06-14,19831
2014-06-15,19823
2014-06-16,29470
2014-06-17,25210
2014-06-18,29059
2014-06-19,24884
2014-06-20,21588
2014-06-21,16844
2014-06-22,15462
2014-06-23,21363
2014-06-24,21238
2014-06-25,21303
2014-06-26,21587
2014-06-27,21138
2014-06-28,16647
2014-06-29,18250
2014-06-30,27472
2014-07-01,27626
2014-07-02,28898
2014-07-03,24880
2014-07-04,22913
2014-07-05,16731
2014-07-06,15871
2014-07-07,23712
2014-07-08,24370
2014-07-09,24512
2014-07-10,25843
2014-07-11,23170
2014-07-12,18376
2014-07-13,16006
2014-07-14,20651
2014-07-15,26378
2014-07-16,27361
2014-07-17,26990
2014-07-18,32056
2014-07-19,22481
2014-07-20,18927
2014-07-21,25970
2014-07-22,23561
2014-07-23,23528
2014-07-24,22792
2014-07-25,27083
2014-07-26,19772
2014-07-27,18761
2014-07-28,31771
2014-07-29,29666
2014-07-30,31676
2014-07-31,29330
2014-08-01,26925
2014-08-02,21580
2014-08-03,20275
2014-08-04,25282
2014-08-05,26276
2014-08-06,30077
2014-08-07,28534
2014-08-08,29681
2014-08-09,21272
2014-08-10,21090
2014-08-11,30434
2014-08-12,29654
2014-08-13,28566
2014-08-14,28984
2014-08-15,31212
2014-08-16,25749
2014-08-17,20659
2014-08-18,29389
2014-08-19,29436
2014-08-20,29970
2014-08-21,26721
2014-08-22,26195
2014-08-23,21451
2014-08-24,18901
2014-08-25,25080
2014-08-26,25766
2014-08-27,23770
2014-08-28,27553
2014-08-29,27279
2014-08-30,23715
2014-08-31,20946
2014-09-01,25108
2014-09-02,29159
2014-09-03,29596
2014-09-04,33518
2014-09-05,31214
2014-09-06,22634
2014-09-07,21468
2014-09-08,31376
2014-09-09,41180
2014-09-10,34828
2014-09-11,37179
2014-09-12,29306
2014-09-13,21855
2014-09-14,21855
2014-09-15,29503
2014-09-16,27368
2014-09-17,30693
2014-09-18,31191
2014-09-19,29885
2014-09-20,21041
2014-09-21,21499
2014-09-22,28914
2014-09-23,39278
2014-09-24,35524
2014-09-25,28497
2014-09-26,26257
2014-09-27,22134
2014-09-28,22527
2014-09-29,30105
2014-09-30,30739
2014-10-01,28084
2014-10-02,25562
2014-10-03,28304
2014-10-04,25513
2014-10-05,28336
2014-10-06,36255
2014-10-07,35252
2014-10-08,31310
2014-10-09,30771
2014-10-10,26381
2014-10-11,21996
2014-10-12,22078
2014-10-13,28919
2014-10-14,34739
2014-10-15,30933
2014-10-16,28972
2014-10-17,28276
2014-10-18,23426
2014-10-19,21766
2014-10-20,29301
2014-10-21,30848
2014-10-22,29154
2014-10-23,28333
2014-10-24,27657
2014-10-25,23774
2014-10-26,22550
2014-10-27,26939
2014-10-28,26891
2014-10-29,29544
2014-10-30,29310
2014-10-31,27265
2014-11-01,23555
2014-11-02,24017
2014-11-03,30719
2014-11-04,29948
2014-11-05,29311
2014-11-06,33328
2014-11-07,32295
2014-11-08,25308
2014-11-09,24074
2014-11-10,28750
2014-11-11,30840
2014-11-12,32844
2014-11-13,35207
2014-11-14,32470
2014-11-15,28660
2014-11-16,26956
2014-11-17,34000
2014-11-18,35733
2014-11-19,31961
2014-11-20,32060
2014-11-21,31135
2014-11-22,25494
2014-11-23,24514
2014-11-24,30107
2014-11-25,33005
2014-11-26,35721
2014-11-27,31811
2014-11-28,30813
2014-11-29,27086
2014-11-30,23326
2014-12-01,33892
2014-12-02,38810
2014-12-03,32590
2014-12-04,32051
2014-12-05,30823
2014-12-06,25295
2014-12-07,27367
2014-12-08,30505
2014-12-09,35800
2014-12-10,31842
2014-12-11,53514
2014-12-12,38573
2014-12-13,29084
2014-12-14,27733
2014-12-15,33746
2014-12-16,37020
2014-12-17,34845
2014-12-18,34406
2014-12-19,31123
2014-12-20,27573
2014-12-21,28074
2014-12-22,31997
2014-12-23,30702
2014-12-24,29948
2014-12-25,24960
2014-12-26,29993
2014-12-27,36291
2014-12-28,24267
2014-12-29,26976
2014-12-30,28321
2014-12-31,30033
2015-01-01,25326
2015-01-02,31612
2015-01-03,24985
2015-01-04,27218
2015-01-05,36823
2015-01-06,37278
2015-01-07,33893
2015-01-08,29430
2015-01-09,38253
2015-01-10,26431
2015-01-11,24570
2015-01-12,30559
2015-01-13,37057
2015-01-14,43953
2015-01-15,39157
2015-01-16,32712
2015-01-17,25581
2015-01-18,26963
2015-01-19,34813
2015-01-20,36373
2015-01-21,33163
2015-01-22,35242
2015-01-23,36468
2015-01-24,30928
2015-01-25,28899
2015-01-26,48225
2015-01-27,33261
2015-01-28,35656
2015-01-29,32753
2015-01-30,29608
2015-01-31,22494
2015-02-01,23490
2015-02-02,36849
2015-02-03,35934
2015-02-04,34526
2015-02-05,36329
2015-02-06,31550
2015-02-07,27124
2015-02-08,27062
2015-02-09,33249
2015-02-10,35184
2015-02-11,38817
2015-02-12,37141
2015-02-13,34544
2015-02-14,23963
2015-02-15,25402
2015-02-16,34082
2015-02-17,31169
2015-02-18,31198
2015-02-19,37594
2015-02-20,38595
2015-02-21,25250
2015-02-22,25020
2015-02-23,30613
2015-02-24,29682
2015-02-25,32952
2015-02-26,31193
2015-02-27,30657
2015-02-28,25878
2015-03-01,24274
2015-03-02,32774
2015-03-03,32097
2015-03-04,29233
2015-03-05,31168
2015-03-06,35717
2015-03-07,24798
2015-03-08,22951
2015-03-09,29266
2015-03-10,34252
2015-03-11,35100
2015-03-12,34658
2015-03-13,33435
2015-03-14,27743
2015-03-15,28096
2015-03-16,31220
2015-03-17,42188
2015-03-18,33958
2015-03-19,37117
2015-03-20,30131
2015-03-21,25835
2015-03-22,28913
2015-03-23,39948
2015-03-24,35523
2015-03-25,37685
2015-03-26,39542
2015-03-27,38562
2015-03-28,31445
2015-03-29,33413
2015-03-30,45121
2015-03-31,40801
2015-04-01,41856
2015-04-02,34869
2015-04-03,35599
2015-04-04,30698
2015-04-05,31340
2015-04-06,36529
2015-04-07,37413
2015-04-08,35933
2015-04-09,34394
2015-04-10,35208
2015-04-11,28929
2015-04-12,26637
2015-04-13,35500
2015-04-14,37301
2015-04-15,34931
2015-04-16,34328
2015-04-17,33627
2015-04-18,27262
2015-04-19,27825
2015-04-20,33657
2015-04-21,37175
2015-04-22,35572
2015-04-23,34911
2015-04-24,33309
2015-04-25,27466
2015-04-26,29666
2015-04-27,40998
2015-04-28,33984
2015-04-29,34519
2015-04-30,39510
2015-05-01,32051
2015-05-02,26799
2015-05-03,27786
2015-05-04,32104
2015-05-05,31562
2015-05-06,32985
2015-05-07,32758
2015-05-08,31337
2015-05-09,26123
2015-05-10,23678
2015-05-11,33169
2015-05-12,30268
2015-05-13,28033
2015-05-14,27329
2015-05-15,30487
2015-05-16,24923
2015-05-17,24078
2015-05-18,31941
2015-05-19,37577
2015-05-20,31832
2015-05-21,30761
2015-05-22,31372
2015-05-23,25577
2015-05-24,24248
2015-05-25,29100
2015-05-26,32548
2015-05-27,29880
2015-05-28,27312
2015-05-29,30230
2015-05-30,26500
2015-05-31,26503
2015-06-01,31601
2015-06-02,31036
2015-06-03,38619
2015-06-04,62139
2015-06-05,31931
2015-06-06,22987
2015-06-07,23494
2015-06-08,33794
2015-06-09,30793
2015-06-10,30673
2015-06-11,30828
2015-06-12,28712
2015-06-13,24171
2015-06-14,24381
2015-06-15,31784
2015-06-16,36665
2015-06-17,33752
2015-06-18,33873
2015-06-19,31972
2015-06-20,25711
2015-06-21,24980
2015-06-22,30830
2015-06-23,31993
2015-06-24,31547
2015-06-25,29577
2015-06-26,26513
2015-06-27,23653
2015-06-28,26126
2015-06-29,36420
2015-06-30,37846
2015-07-01,34045
2015-07-02,34731
2015-07-03,31883
2015-07-04,28378
2015-07-05,29753
2015-07-06,36830
2015-07-07,37048
2015-07-08,37921
2015-07-09,35940
2015-07-10,36460
2015-07-11,27504
2015-07-12,30530
2015-07-13,36923
2015-07-14,39662
2015-07-15,42089
2015-07-16,43080
2015-07-17,37801
2015-07-18,30278
2015-07-19,27507
2015-07-20,35805
2015-07-21,37564
2015-07-22,34116
2015-07-23,34751
2015-07-24,38053
2015-07-25,25853
2015-07-26,27751
2015-07-27,33510
2015-07-28,33475
2015-07-29,31784
2015-07-30,31543
2015-07-31,32586
2015-08-01,39907
2015-08-02,26083
2015-08-03,35156
2015-08-04,36616
2015-08-05,36993
2015-08-06,34846
2015-08-07,35441
2015-08-08,26661
2015-08-09,27912
2015-08-10,32418
2015-08-11,30939
2015-08-12,31396
2015-08-13,33789
2015-08-14,34500
2015-08-15,30264
2015-08-16,29294
2015-08-17,34463
2015-08-18,35530
2015-08-19,37344
2015-08-20,35931
2015-08-21,36370
2015-08-22,31535
2015-08-23,31794
2015-08-24,39386
2015-08-25,38656
2015-08-26,38369
2015-08-27,38169
2015-08-28,39707
2015-08-29,33829
2015-08-30,33651
2015-08-31,40929
2015-09-01,42066
2015-09-02,41239
2015-09-03,40220
2015-09-04,36877
2015-09-05,29584
2015-09-06,29841
2015-09-07,34971
2015-09-08,39100
2015-09-09,34702
2015-09-10,38315
2015-09-11,39327
2015-09-12,31169
2015-09-13,29566
2015-09-14,39851
2015-09-15,38491
2015-09-16,41172
2015-09-17,37781
2015-09-18,40904
2015-09-19,33101
2015-09-20,32871
2015-09-21,48961
2015-09-22,48646
2015-09-23,40095
2015-09-24,38459
2015-09-25,36858
2015-09-26,30679
2015-09-27,29858
2015-09-28,34702
2015-09-29,34911
2015-09-30,35243
2015-10-01,32898
2015-10-02,31394
2015-10-03,26510
2015-10-04,28117
2015-10-05,34858
2015-10-06,37232
2015-10-07,33794
2015-10-08,33098
2015-10-09,30780
2015-10-10,25869
2015-10-11,26967
2015-10-12,31220
2015-10-13,32498
2015-10-14,33219
2015-10-15,36064
2015-10-16,36302
2015-10-17,29122
2015-10-18,28360
2015-10-19,33780
2015-10-20,36027
2015-10-21,37624
2015-10-22,45677
2015-10-23,36196
2015-10-24,33574
2015-10-25,33367
2015-10-26,37734
2015-10-27,37927
2015-10-28,39484
2015-10-29,40770
2015-10-30,40483
2015-10-31,38064
2015-11-01,34138
2015-11-02,41338
2015-11-03,50955
2015-11-04,62998
2015-11-05,59356
2015-11-06,47903
2015-11-07,38302
2015-11-08,40663
2015-11-09,48902
2015-11-10,50511
2015-11-11,46685
2015-11-12,44276
2015-11-13,46377
2015-11-14,32974
2015-11-15,36022
2015-11-16,41580
2015-11-17,41500
2015-11-18,43917
2015-11-19,38513
2015-11-20,42205
2015-11-21,30792
2015-11-22,23724
2015-11-23,29440
2015-11-24,27501
2015-11-25,31429
2015-11-26,30865
2015-11-27,28529
2015-11-28,26320
2015-11-29,26015
2015-11-30,32208
2015-12-01,31543
2015-12-02,30134
2015-12-03,29895
2015-12-04,28398
2015-12-05,27707
2015-12-06,29908
2015-12-07,34580
2015-12-08,36442
2015-12-09,77018
2015-12-10,44925
2015-12-11,38915
2015-12-12,31003
2015-12-13,28776
2015-12-14,38376
2015-12-15,40318
2015-12-16,37049
2015-12-17,32135
2015-12-18,31883
2015-12-19,27272
2015-12-20,26593
2015-12-21,31423
2015-12-22,31462
2015-12-23,29917
2015-12-24,27143
2015-12-25,24247
2015-12-26,25044
2015-12-27,28827
2015-12-28,33651
2015-12-29,30107
2015-12-30,37645
2015-12-31,32972
2016-01-01,27024
2016-01-02,27528
2016-01-03,26921
2016-01-04,31420
2016-01-05,34770
2016-01-06,32068
2016-01-07,34203
2016-01-08,33726
2016-01-09,28027
2016-01-10,29443
2016-01-11,32492
2016-01-12,33582
2016-01-13,35716
2016-01-14,37140
2016-01-15,51378
2016-01-16,40457
2016-01-17,33771
2016-01-18,40878
2016-01-19,38260
2016-01-20,44135
2016-01-21,42025
2016-01-22,40008
2016-01-23,33364
2016-01-24,30408
2016-01-25,36388
2016-01-26,40480
2016-01-27,36695
2016-01-28,34329
2016-01-29,32294
2016-01-30,29792
2016-01-31,30650
2016-02-01,36869
2016-02-02,36103
2016-02-03,36830
