Date,Price,Open,High,Low,Vol.,Change %
"Dec 02, 2020",91.448,91.203,91.457,91.102,-,0.17%
"Dec 01, 2020",91.297,91.9,91.915,91.14,29.58K,-0.61%
"Nov 30, 2020",91.858,91.73,92.04,91.49,31.58K,0.06%
"Nov 27, 2020",91.801,92,92.035,91.74,9.92K,-0.18%
"Nov 26, 2020",91.966,91.95,92.165,91.83,8.18K,0.00%
"Nov 25, 2020",91.966,92.118,92.252,91.91,-,-0.28%
"Nov 24, 2020",92.22,92.51,92.555,92.105,23.19K,-0.30%
"Nov 23, 2020",92.494,92.345,92.795,92,35.61K,0.11%
"Nov 20, 2020",92.395,92.33,92.425,92.185,16.26K,0.12%
"Nov 19, 2020",92.284,92.505,92.72,92.225,20.05K,-0.03%
"Nov 18, 2020",92.311,92.44,92.51,92.195,14.66K,-0.09%
"Nov 17, 2020",92.398,92.485,92.605,92.25,17.59K,-0.25%
"Nov 16, 2020",92.63,92.715,92.85,92.435,29.49K,-0.13%
"Nov 13, 2020",92.75,92.96,93.005,92.7,14.30K,-0.22%
"Nov 12, 2020",92.956,92.97,93.125,92.755,23.31K,-0.07%
"Nov 11, 2020",93.024,92.73,93.19,92.595,23.55K,0.31%
"Nov 10, 2020",92.736,92.81,92.965,92.585,22.87K,0.02%
"Nov 09, 2020",92.715,92.23,92.97,92.12,45.99K,0.53%
"Nov 06, 2020",92.225,92.74,92.825,92.165,32.88K,-0.31%
"Nov 05, 2020",92.516,93.4,93.54,92.47,35.45K,-0.96%
"Nov 04, 2020",93.411,93.66,94.33,93.245,36.54K,-0.16%
"Nov 03, 2020",93.56,94.035,94.06,93.295,18.24K,-0.62%
"Nov 02, 2020",94.145,94.095,94.315,93.99,14.75K,0.11%
"Oct 30, 2020",94.042,93.925,94.105,93.66,18.48K,0.07%
"Oct 29, 2020",93.977,93.47,94.14,93.355,26.34K,0.61%
"Oct 28, 2020",93.409,93.11,93.66,93.04,25.86K,0.52%
"Oct 27, 2020",92.927,93.06,93.13,92.775,13.97K,-0.13%
"Oct 26, 2020",93.044,92.75,93.11,92.73,14.72K,0.30%
"Oct 23, 2020",92.765,92.97,93.13,92.645,17.69K,-0.21%
"Oct 22, 2020",92.964,92.725,92.99,92.61,12.27K,0.39%
"Oct 21, 2020",92.599,93.035,93.06,92.46,24.27K,-0.49%
"Oct 20, 2020",93.051,93.415,93.505,92.975,22.35K,-0.40%
"Oct 19, 2020",93.429,93.72,93.775,93.195,21.62K,-0.27%
"Oct 16, 2020",93.679,93.815,93.885,93.52,19.36K,-0.20%
"Oct 15, 2020",93.864,93.435,93.925,93.365,17.90K,0.53%
"Oct 14, 2020",93.366,93.54,93.68,93.24,24.15K,-0.18%
"Oct 13, 2020",93.536,93.075,93.605,93.045,28.34K,0.46%
"Oct 12, 2020",93.104,93.11,93.27,93.025,17.46K,0.04%
"Oct 09, 2020",93.065,93.575,93.62,93,19.92K,-0.62%
"Oct 08, 2020",93.648,93.67,93.82,93.525,14.79K,-0.03%
"Oct 07, 2020",93.678,93.89,93.975,93.605,20.28K,-0.07%
"Oct 06, 2020",93.744,93.455,93.915,93.375,26.66K,0.21%
"Oct 05, 2020",93.545,93.915,93.955,93.415,17.46K,-0.39%
"Oct 02, 2020",93.909,93.8,94.09,93.735,21.82K,0.16%
"Oct 01, 2020",93.762,93.865,93.98,93.565,24.77K,-0.18%
"Sep 30, 2020",93.927,93.9,94.25,93.7,20.01K,0.00%
"Sep 29, 2020",93.927,94.205,94.35,93.86,17.39K,-0.40%
"Sep 28, 2020",94.302,94.63,94.67,94.175,20.24K,-0.40%
"Sep 25, 2020",94.682,94.345,94.795,94.225,18.88K,0.31%
"Sep 24, 2020",94.394,94.44,94.655,94.225,23.95K,-0.05%
"Sep 23, 2020",94.443,94.03,94.495,93.965,30.72K,0.45%
"Sep 22, 2020",94.018,93.585,94.12,93.5,23.40K,0.36%
"Sep 21, 2020",93.684,93.005,93.815,92.755,32.24K,0.79%
"Sep 18, 2020",92.952,92.895,93.045,92.77,15.65K,-0.02%
"Sep 17, 2020",92.969,93.19,93.63,92.875,31.14K,-0.28%
"Sep 16, 2020",93.231,93.13,93.3,92.8,35.51K,0.16%
"Sep 15, 2020",93.085,93.07,93.185,92.79,18.64K,0.19%
"Sep 14, 2020",92.912,93.25,93.3,92.91,3.15K,-0.44%
"Sep 11, 2020",93.32,93.345,93.375,93.11,11.40K,-0.01%
"Sep 10, 2020",93.331,93.27,93.45,92.7,21.15K,0.08%
"Sep 09, 2020",93.258,93.535,93.665,93.125,24.80K,-0.20%
"Sep 08, 2020",93.441,93.05,93.52,93,30.04K,0.78%
"Sep 07, 2020",92.719,92.8,93.09,92.8,7.78K,0.00%
"Sep 04, 2020",92.719,92.825,93.245,92.665,25.88K,-0.02%
"Sep 03, 2020",92.733,92.705,93.085,92.685,20.74K,-0.11%
"Sep 02, 2020",92.834,92.265,92.875,92.235,24.03K,0.55%
"Sep 01, 2020",92.325,92.178,92.403,91.737,-,0.21%
"Aug 31, 2020",92.131,92.3,92.49,91.99,29.09K,-0.27%
"Aug 28, 2020",92.379,93.03,93.1,92.18,35.37K,-0.66%
"Aug 27, 2020",92.991,92.835,93.35,92.385,46.98K,-0.01%
"Aug 26, 2020",92.996,93.02,93.375,92.835,18.76K,-0.02%
"Aug 25, 2020",93.019,93.27,93.35,92.96,16.29K,-0.29%
"Aug 24, 2020",93.289,93.215,93.34,92.83,16.20K,0.05%
"Aug 21, 2020",93.24,92.69,93.48,92.565,25.53K,0.50%
"Aug 20, 2020",92.778,92.975,93.245,92.71,19.71K,-0.11%
"Aug 19, 2020",92.88,92.21,93.065,92.145,21.58K,0.67%
"Aug 18, 2020",92.259,92.82,92.82,92.11,21.71K,-0.63%
"Aug 17, 2020",92.847,93.035,93.115,92.75,12.46K,-0.26%
"Aug 14, 2020",93.085,93.245,93.41,92.995,15.38K,-0.25%
"Aug 13, 2020",93.317,93.365,93.39,92.905,19.29K,-0.10%
"Aug 12, 2020",93.408,93.655,93.895,93.21,20.59K,-0.21%
"Aug 11, 2020",93.6,93.595,93.735,93.14,23.50K,0.03%
"Aug 10, 2020",93.569,93.415,93.685,93.275,15.75K,0.17%
"Aug 07, 2020",93.412,92.785,93.625,92.74,25.84K,0.69%
"Aug 06, 2020",92.768,92.78,93.085,92.475,24.33K,-0.09%
"Aug 05, 2020",92.85,93.145,93.235,92.535,20.13K,-0.57%
"Aug 04, 2020",93.378,93.505,93.815,93.215,18.00K,-0.14%
"Aug 03, 2020",93.507,93.39,93.98,93.295,24.99K,0.20%
"Jul 31, 2020",93.321,92.775,93.525,92.51,28.57K,0.34%
"Jul 30, 2020",93.009,93.305,93.64,92.89,26.95K,-0.45%
"Jul 29, 2020",93.432,93.71,93.77,93.12,24.75K,-0.23%
"Jul 28, 2020",93.647,93.49,93.965,93.45,23.58K,0.03%
"Jul 27, 2020",93.615,94.345,94.375,93.42,23.56K,-0.81%
"Jul 24, 2020",94.38,94.75,94.78,94.1,18.25K,-0.28%
"Jul 23, 2020",94.649,94.955,95.15,94.54,17.88K,-0.30%
"Jul 22, 2020",94.93,95.09,95.375,94.775,17.68K,-0.14%
"Jul 21, 2020",95.06,95.7,95.87,94.98,24.68K,-0.74%
"Jul 20, 2020",95.772,96,96.145,95.675,18.20K,-0.12%
"Jul 17, 2020",95.889,96.26,96.295,95.845,11.60K,-0.45%
"Jul 16, 2020",96.319,95.975,96.38,95.845,18.27K,0.29%
"Jul 15, 2020",96.039,96.12,96.215,95.72,14.53K,-0.17%
"Jul 14, 2020",96.207,96.52,96.67,96.125,12.97K,-0.21%
"Jul 13, 2020",96.407,96.585,96.64,96.205,18.71K,-0.21%
"Jul 10, 2020",96.614,96.745,96.96,96.395,16.73K,-0.06%
"Jul 09, 2020",96.673,96.415,96.78,96.18,21.92K,0.32%
"Jul 08, 2020",96.368,96.91,97.005,96.345,18.91K,-0.49%
"Jul 07, 2020",96.839,96.7,97.105,96.555,16.29K,0.16%
"Jul 06, 2020",96.682,97.19,97.19,96.5,20.09K,-0.64%
"Jul 03, 2020",97.301,97.21,97.35,97.145,5.24K,0.00%
"Jul 02, 2020",97.301,97.14,97.335,96.79,17.42K,0.15%
"Jul 01, 2020",97.155,97.375,97.615,96.985,16.05K,-0.20%
