"","article_date","postive_sentiment_afinn"
"1",2012-02-28,1
"2",2012-03-02,0
"3",2012-03-03,1
"4",2012-03-05,1
"5",2012-04-04,1
"6",2012-04-05,1
"7",2012-04-07,1
"8",2012-04-08,1
"9",2012-04-10,1
"10",2012-04-12,1
"11",2012-04-16,1
"12",2012-04-25,1
"13",2012-04-27,1
"14",2012-04-28,1
"15",2012-05-02,1
"16",2012-05-08,1
"17",2012-05-09,1
"18",2012-05-14,1
"19",2012-05-15,1
"20",2012-05-21,1
"21",2012-05-24,0
"22",2012-05-26,0
"23",2012-05-30,1
"24",2012-05-31,0
"25",2012-06-04,1
"26",2012-06-05,1
"27",2012-06-08,1
"28",2012-06-11,1
"29",2012-06-12,0
"30",2012-06-14,1
"31",2012-06-15,1
"32",2012-06-16,1
"33",2012-06-19,1
"34",2012-06-26,1
"35",2012-06-29,1
"36",2012-07-05,1
"37",2012-07-12,1
"38",2012-07-17,0
"39",2012-07-21,1
"40",2012-07-24,1
"41",2012-07-28,1
"42",2012-07-31,0
"43",2012-08-02,1
"44",2012-08-03,1
"45",2012-08-06,1
"46",2012-08-09,0
"47",2012-08-11,1
"48",2012-08-16,1
"49",2012-08-18,1
"50",2012-08-23,1
"51",2012-08-30,1
"52",2012-09-01,1
"53",2012-09-05,0
"54",2012-09-06,1
"55",2012-09-09,1
"56",2012-09-11,1
"57",2012-09-16,0
"58",2012-09-19,1
"59",2012-09-21,1
"60",2012-09-22,1
"61",2012-09-26,1
"62",2012-10-03,1
"63",2012-10-05,1
"64",2012-10-10,1
"65",2012-10-15,1
"66",2012-10-16,1
"67",2012-10-17,1
"68",2012-11-03,1
"69",2012-11-06,1
"70",2012-11-07,1
"71",2012-11-08,1
"72",2012-11-09,1
"73",2012-11-14,1
"74",2012-11-16,1
"75",2012-11-20,1
"76",2012-11-23,1
"77",2012-11-27,0
"78",2012-12-02,1
"79",2012-12-03,1
"80",2012-12-05,0
"81",2012-12-06,1
"82",2012-12-10,1
"83",2012-12-13,1
"84",2012-12-17,0
"85",2012-12-26,1
"86",2012-12-29,0
"87",2013-01-03,1
"88",2013-01-04,1
"89",2013-01-08,1
"90",2013-01-09,1
"91",2013-01-11,1
"92",2013-02-14,1
"93",2013-02-15,1
"94",2013-02-17,0
"95",2013-02-20,1
"96",2013-02-22,1
"97",2013-02-27,1
"98",2013-02-28,1
"99",2013-03-05,1
"100",2013-03-06,1
"101",2013-03-08,1
"102",2013-03-12,1
"103",2013-03-13,0
"104",2013-03-19,1
"105",2013-03-25,1
"106",2013-03-27,1
"107",2013-03-28,1
"108",2013-04-01,1
"109",2013-04-02,1
"110",2013-04-03,1
"111",2013-04-05,1
"112",2013-04-06,0
"113",2013-04-07,1
"114",2013-04-10,1
"115",2013-04-11,1
"116",2013-04-13,0
"117",2013-04-14,0
"118",2013-04-15,0
"119",2013-04-19,0
"120",2013-04-21,1
"121",2013-04-22,1
"122",2013-04-23,1
"123",2013-04-24,1
"124",2013-04-25,0
"125",2013-04-26,1
"126",2013-04-29,1
"127",2013-05-01,0
"128",2013-05-02,1
"129",2013-05-03,0
"130",2013-05-06,1
"131",2013-05-09,1
"132",2013-05-13,0
"133",2013-05-14,1
"134",2013-05-15,1
"135",2013-05-16,1
"136",2013-05-17,1
"137",2013-05-18,1
"138",2013-05-19,1
"139",2013-05-21,1
"140",2013-05-22,1
"141",2013-05-23,1
"142",2013-05-25,0
"143",2013-05-27,0
"144",2013-05-28,1
"145",2013-05-29,0
"146",2013-05-31,1
"147",2013-06-03,1
"148",2013-06-04,1
"149",2013-06-05,0
"150",2013-06-06,1
"151",2013-06-08,1
"152",2013-06-10,1
"153",2013-06-11,1
"154",2013-06-13,1
"155",2013-06-14,1
"156",2013-06-15,1
"157",2013-06-17,1
"158",2013-06-18,1
"159",2013-06-20,1
"160",2013-06-21,1
"161",2013-06-22,1
"162",2013-06-24,1
"163",2013-06-26,1
"164",2013-06-27,1
"165",2013-06-28,1
"166",2013-06-29,1
"167",2013-07-02,1
"168",2013-07-03,1
"169",2013-07-04,1
"170",2013-07-06,0
"171",2013-07-08,1
"172",2013-07-09,1
"173",2013-07-10,1
"174",2013-07-11,1
"175",2013-07-12,1
"176",2013-07-16,1
"177",2013-07-18,1
"178",2013-07-20,1
"179",2013-07-21,1
"180",2013-07-23,1
"181",2013-07-24,1
"182",2013-07-25,0
"183",2013-07-26,1
"184",2013-07-27,0
"185",2013-07-28,1
"186",2013-07-29,1
"187",2013-07-30,1
"188",2013-07-31,1
"189",2013-08-01,1
"190",2013-08-02,1
"191",2013-08-03,1
"192",2013-08-05,1
"193",2013-08-06,1
"194",2013-08-07,1
"195",2013-08-08,1
"196",2013-08-09,0
"197",2013-08-10,1
"198",2013-08-12,0
"199",2013-08-13,1
"200",2013-08-14,0
"201",2013-08-15,1
"202",2013-08-16,1
"203",2013-08-19,1
"204",2013-08-20,1
"205",2013-08-21,0
"206",2013-08-23,1
"207",2013-08-26,1
"208",2013-08-27,1
"209",2013-08-29,1
"210",2013-08-30,1
"211",2013-09-01,0
"212",2013-09-03,1
"213",2013-09-04,1
"214",2013-09-07,1
"215",2013-09-09,1
"216",2013-09-12,1
"217",2013-09-14,1
"218",2013-09-15,0
"219",2013-09-16,1
"220",2013-09-19,1
"221",2013-09-20,1
"222",2013-09-21,1
"223",2013-09-22,1
"224",2013-09-25,0
"225",2013-09-26,1
